time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.005513164732191298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.010841555065578885,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.01639478736453586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.021949542893303767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.027505291832817927,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.03306269645690918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.03872301843431261,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.044172803560892746,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.04972742663489448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.05528344048394098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.06089713838365344,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.06640944215986465,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.07195081975724964,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.07750584019554987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.08305999967787002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.08861614598168269,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.09417547119988337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0997313525941637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.10528491603003609,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.1108506653043959,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.11642813682556154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.12196030881669788,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.12750671969519722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.13307068083021378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.13862755563524037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.14420602056715226,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.1497523652182685,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.15530798170301652,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.16086379686991376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.16642749309539798,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.1719695329666138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.17751263247595897,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.18306599722968211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.1886257860395644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.19425365659925678,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.19976807965172666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2053006490071615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.21084858311547178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2164089017444187,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.22195398807525638,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.22751344574822321,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.23306601577334934,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2386258708106147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.24420036209954157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.24974266688028973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.25530185964372426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.26086264186435276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2665526337093777,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2719662586847941,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.27752253744337296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2830946445465088,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.28864920139312744,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.2941853470272488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.29974599679311115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3052965137693617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.31084934870402015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.31641297870212126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3219915098614162,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.32752533753712965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3330790996551513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.33863610691494406,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.34417556391821963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.34973482290903724,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3552977906333075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3608535395728217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.36640591091579855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.37198285261789954,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3775175412495931,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3831116358439127,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3886344035466512,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.3942011462317572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
